user_id,num_train_ratings,train_corr,fixed_test_corr,good_test_corr,train_rmse,fixed_test_rmse,good_test_rmse,passed_redisplay,passed_arbitrary,ratings_accuracy,fixed_mpc_accuracy,good_mpc_accuracy
17.0,21.0,0.9999999999999998,0.3273268353539885,0.801783725737273,0.0,1.0954451150103321,0.6324555320336759,1.0,1.0,0.8,0.8,1.0
18.0,51.0,0.9999999999999994,0.2202208499917338,0.9525793444156805,0.0,0.9219544457292888,0.31622776601683794,1.0,1.0,0.6,0.7,1.0
19.0,31.0,1.0,-0.2023379429335682,-0.801783725737273,3.988038833097616e-17,1.036822067666386,1.224744871391589,1.0,1.0,0.2,0.3,0.4
20.0,31.0,1.0,-0.16666666666666657,-0.4082482904638631,0.0,1.5491933384829668,1.5491933384829668,1.0,1.0,0.6,0.4,0.4
21.0,31.0,1.0,0.4311239909182913,0.4082482904638631,0.0,0.758287544405155,0.6708203932499369,1.0,1.0,0.4,0.6,1.0
22.0,51.0,1.0,0.3348134125015457,-0.18463723646899907,2.908433671653298e-17,0.724568837309472,1.3038404810405297,1.0,1.0,0.6,0.8,0.4
23.0,31.0,0.9999999999999999,-0.3197047031321863,0.7530800950958864,6.613414229375787e-17,1.2549900398011133,0.9486832980505138,1.0,1.0,0.6,0.5,0.8
24.0,41.0,1.0,0.14684952659460168,0.4422689813358517,0.0,0.8803408430829505,0.8944271909999159,0.0,1.0,0.6,0.6,0.6
25.0,41.0,1.0,0.5095438042387855,0.801783725737273,7.754133954591437e-17,0.5244044240850758,0.3872983346207417,1.0,1.0,0.8,0.9,0.8
26.0,31.0,1.0,0.2784230231948523,-0.6123724356957946,3.988038833097616e-17,0.724568837309472,0.8944271909999159,1.0,1.0,1.0,0.5,0.4
27.0,31.0,1.0,0.008988968316207727,0.22116293423234573,4.884330107746802e-17,1.1067971810589328,0.7071067811865476,1.0,1.0,0.6,0.5,0.6
28.0,21.0,0.9999999999999998,0.25,,0.0,0.6324555320336759,0.5,1.0,1.0,1.0,0.7,1.0
29.0,51.0,1.0,0.5215311004784688,0.8479461097510954,0.0,0.7071067811865476,0.5,0.0,1.0,0.6,0.7,1.0
30.0,41.0,0.9999999999999999,-0.37543413846764007,,0.0,0.758287544405155,0.5,1.0,1.0,1.0,0.4,1.0
31.0,51.0,1.0,0.04383709716846648,0.9999999999999998,8.828562609469263e-17,1.036822067666386,0.4472135954999579,1.0,1.0,0.8,0.4,0.8
32.0,21.0,1.0,-0.1908661114379561,,7.57095394141012e-19,0.85146931829632,0.22360679774997896,1.0,1.0,0.8,0.6,1.0
33.0,31.0,1.0,0.3713906763541038,-0.408248290463863,0.0,0.7071067811865476,0.7745966692414834,0.0,1.0,0.6,0.7,0.8
34.0,21.0,1.0,-0.3688555567816589,,0.0,0.6123724356957945,0.7416198487095663,1.0,1.0,0.6,0.6,1.0
35.0,41.0,1.0,0.39477101697586137,-0.39528470752104733,0.0,0.4472135954999579,1.3228756555322954,1.0,1.0,0.4,0.8,0.4
36.0,41.0,0.9999999999999998,-0.05360562674188972,0.3429971702850176,0.0,1.036822067666386,0.5477225575051661,1.0,1.0,0.8,0.5,0.8
37.0,31.0,0.9999999999999997,0.08549819600709618,0.16666666666666669,2.2293814819288016e-17,0.7745966692414834,0.5916079783099616,1.0,1.0,1.0,0.4,0.4
38.0,41.0,0.9999999999999998,0.19973386548424035,0.10206207261596575,4.904144915711519e-17,0.7905694150420949,0.4472135954999579,1.0,1.0,1.0,0.7,0.8
39.0,41.0,1.0,0.13179561169309137,0.3100868364730211,5.750619650277813e-17,0.8803408430829505,0.5477225575051661,1.0,1.0,1.0,0.7,0.8
40.0,21.0,1.0,-4.196794160224604e-18,,0.0,0.6708203932499369,0.7745966692414834,1.0,1.0,0.8,0.4,0.8
41.0,31.0,1.0,0.2041000327582508,,3.861401996153881e-17,1.0124228365658292,0.6708203932499369,1.0,1.0,0.8,0.5,0.8
42.0,21.0,1.0,0.0,,0.0,0.8215838362577492,0.7071067811865476,1.0,1.0,1.0,0.4,1.0
43.0,41.0,1.0,0.6808829066491896,,0.0,0.22360679774997896,0.8366600265340756,1.0,1.0,1.0,1.0,1.0
44.0,31.0,0.9999999999999997,-0.3109467084084616,0.560112033611204,0.0,0.6324555320336759,0.6324555320336759,1.0,1.0,0.6,0.6,0.6
45.0,21.0,0.9999999999999999,0.29417420270727607,,0.0,0.6324555320336759,0.7416198487095663,1.0,1.0,0.8,0.7,0.8
46.0,51.0,1.0,-0.156173761888606,,0.0,0.5916079783099616,0.7071067811865476,1.0,1.0,0.6,0.6,1.0
47.0,31.0,1.0,0.44721359549995787,,2.81996930251861e-17,0.5477225575051661,0.5916079783099616,1.0,1.0,0.8,0.8,1.0
48.0,31.0,1.0,-0.06488003216752794,0.9432422182837985,0.0,0.85146931829632,0.6324555320336759,1.0,1.0,0.6,0.6,1.0
49.0,21.0,1.0,0.10385232314160167,-0.4055535528269063,0.0,0.9082951062292475,1.3601470508735443,1.0,1.0,0.6,0.6,0.6
50.0,41.0,1.0,0.19034674690672027,-0.51604684654214,6.487573920197249e-17,0.6519202405202649,0.806225774829855,0.0,1.0,0.2,0.4,0.8
51.0,41.0,1.0,0.14027149321266968,-0.11111111111111112,4.904144915711519e-17,1.0723805294763609,1.3228756555322954,1.0,1.0,0.4,0.7,0.4
52.0,21.0,0.9999999999999999,0.5094718252549885,-0.40147753427348304,0.0,0.8366600265340756,1.2041594578792296,1.0,1.0,0.6,0.8,0.4
53.0,41.0,1.0,0.5423261445466404,0.06019292654288461,0.0,0.5244044240850758,0.7071067811865476,1.0,1.0,0.4,0.7,0.8
54.0,31.0,0.9999999999999999,0.21029343262550387,,4.458762963857603e-17,1.2144957801491119,1.140175425099138,1.0,1.0,0.6,0.4,0.6
55.0,31.0,0.9999999999999998,0.4465958968688237,-0.24999999999999994,0.0,0.9219544457292888,0.5,1.0,1.0,0.8,0.8,1.0
56.0,41.0,0.9999999999999999,0.11060078065552008,-0.6123724356957946,0.0,1.224744871391589,1.6881943016134133,1.0,1.0,0.4,0.6,0.2
57.0,31.0,0.9999999999999998,0.36115755925730764,0.801783725737273,0.0,0.8803408430829505,0.7416198487095663,1.0,1.0,0.4,0.6,1.0
58.0,21.0,0.9999999999999998,-0.44929782461288265,,6.523333555474887e-17,1.0488088481701516,0.9746794344808963,1.0,1.0,0.8,0.2,0.8
59.0,41.0,1.0,-0.08685806178484522,0.1790287185098583,3.357638494511838e-17,1.1291589790636214,1.0488088481701516,1.0,1.0,0.4,0.6,0.6
60.0,51.0,1.0,-0.06804138174397713,0.5041841733655161,0.0,0.5916079783099616,0.5916079783099616,1.0,1.0,1.0,0.4,0.8
61.0,21.0,1.0,0.32689150222432406,0.8807048459279792,0.0,0.8366600265340756,0.3872983346207417,1.0,1.0,0.8,0.7,0.8
62.0,41.0,0.9999999999999997,-0.5175491695067658,0.34299717028501764,0.0,1.161895003862225,0.5477225575051661,1.0,1.0,0.2,0.6,1.0
63.0,21.0,1.0,-0.6884981943634051,,0.0,1.1937336386313322,0.8366600265340756,1.0,1.0,0.8,0.2,0.8
64.0,31.0,0.9999999999999999,0.5079176666022303,,0.0,0.724568837309472,0.4472135954999579,1.0,1.0,1.0,0.8,1.0
65.0,21.0,1.0,0.3883618984040456,0.049029033784546,0.0,0.7071067811865476,1.1832159566199232,1.0,1.0,0.4,0.9,0.4
66.0,21.0,0.9999999999999999,-0.02768890003737656,0.6993786061802352,0.0,1.2144957801491119,0.5477225575051661,1.0,1.0,1.0,0.4,0.8
67.0,21.0,1.0,0.2857790955791806,-0.13363062095621217,0.0,0.724568837309472,0.6708203932499369,1.0,1.0,1.0,0.5,1.0
68.0,41.0,1.0,-0.5052911526399112,0.2331262020600784,0.0,1.08397416943394,0.7071067811865476,0.0,1.0,1.0,0.6,0.6
69.0,31.0,0.9999999999999996,-0.10532981835244805,-0.24999999999999994,3.453742940741384e-17,0.7416198487095663,0.31622776601683794,1.0,1.0,1.0,0.6,1.0
70.0,21.0,1.0,-0.21821789023599233,0.7637626158259734,0.0,0.7071067811865476,0.31622776601683794,0.0,1.0,0.2,0.6,1.0
71.0,51.0,1.0,0.248510791005535,-1.5477175194561262e-18,0.0,1.140175425099138,0.9746794344808963,1.0,1.0,0.8,0.6,0.6
72.0,31.0,1.0,0.21821789023599236,-0.25,0.0,1.5491933384829668,1.2649110640673518,1.0,1.0,0.8,0.4,0.6
