UMAP Dim 1,UMAP Dim 2
7.7994056,3.5739136
8.939055,4.0578837
6.9100943,8.22075
6.879359,5.555255
6.5710053,3.1481025
4.3385615,4.7728577
5.2893925,5.221399
4.604299,5.434144
9.301335,7.1284976
6.3799453,3.292924
5.9350834,5.6582627
9.2517805,3.622034
5.9912114,5.2377257
4.9231186,2.6298285
7.116562,5.792693
8.0725,4.9942217
9.683198,7.0770617
6.1871486,5.6577773
3.2346945,3.7533
6.8433323,6.3051
7.4450994,8.667515
9.36488,7.326041
3.032731,3.8365672
9.548214,7.401132
8.408376,7.0604615
2.568793,6.984866
8.311405,4.3843975
3.0106459,5.0357494
5.641694,3.0856202
3.3160138,5.9480023
5.163103,3.9110005
9.241733,7.4667764
3.476551,6.3710136
3.908002,5.0074763
6.3939095,4.8328414
8.090619,5.496255
4.3350525,3.101641
2.10949,4.304641
8.928006,8.671348
7.7030354,6.0766835
4.88937,2.5934134
8.293867,4.4839215
9.919693,7.033207
4.4913917,6.0192666
7.2554555,3.0593843
5.643247,3.2821224
8.062586,4.824245
8.031785,9.321304
9.361564,8.382897
2.6553183,7.1495705
8.924845,8.66408
1.8260818,4.959671
8.783608,4.598147
7.4306135,6.9429226
5.1790085,2.5352297
7.9552746,8.0757065
5.6335173,2.657303
3.9136682,4.6283092
3.4209466,3.5178857
7.549706,3.6028078
6.7009225,8.102909
9.108196,4.500932
9.226037,4.5372066
4.2293024,6.0858755
3.881961,4.49812
5.110318,5.7481174
4.018775,4.297722
6.371056,4.4773884
7.8029747,6.106309
9.010313,6.9060535
1.9598548,4.422564
7.811978,4.2015843
3.9365644,6.381797
5.5348287,7.356673
6.0078893,4.303071
1.9034011,5.0279207
6.358845,5.1788726
6.740625,2.8031127
6.6176953,6.607043
3.1441298,3.7263346
7.992027,9.088695
9.5956955,7.3059907
8.079289,3.7882502
5.653371,6.257395
3.269543,5.6259246
4.2713394,6.2998133
3.3051865,6.5804653
1.8848292,4.95981
3.5049603,6.0235343
8.107209,6.4423084
5.2337313,5.5974627
3.2334075,4.275986
2.0065808,4.605128
7.933123,7.7629447
3.805238,5.1109824
9.422447,8.391586
7.4616723,3.732428
4.9405346,6.466937
2.968796,5.957541
6.685067,8.832796
4.815681,4.0152392
4.743937,2.6319902
6.9417934,4.511581
7.790103,6.0254827
8.03457,9.325833
2.490203,5.672796
6.366924,8.079112
9.021625,4.144877
7.7318664,7.7851415
3.033945,5.6751122
7.18935,8.112661
2.7218966,4.1695
4.531966,4.1138124
4.9661336,3.5093336
8.832827,5.462448
8.141932,3.8905544
6.354129,8.124702
7.372996,8.66306
9.103832,5.7957172
7.2256036,6.443691
7.410186,3.5322201
4.9340496,5.2135634
9.424169,7.8261437
3.098805,5.650611
7.9883747,9.29687
6.854317,3.3169446
8.685377,4.5283012
8.216764,4.545501
5.4590316,7.409283
4.5119343,8.045476
6.8931675,3.2906854
4.9055433,5.2861357
4.4573045,3.013291
6.521648,5.243974
5.738419,7.98789
3.7882338,5.801094
8.035384,5.016735
7.208019,4.007668
7.306786,6.93166
5.475108,8.24504
5.3287973,2.63014
7.620912,3.5341427
6.47209,8.890124
8.784493,6.3018303
4.578523,4.962053
9.289414,5.18009
5.133873,5.8520975
4.4393954,5.700221
8.12678,4.6109285
7.4703,3.6193798
8.296868,6.809505
3.1010578,4.7708626
6.9863143,8.327049
7.7438407,5.0959926
5.2136784,2.9446285
6.6741104,8.8418255
5.679642,7.9505787
7.356404,8.847963
5.4277263,7.6391478
4.341718,3.5577178
2.542459,7.022741
6.9706573,4.4958453
9.211629,8.432412
8.985541,7.690011
9.249809,3.9747546
2.7110713,7.0783467
2.0623312,4.9248905
4.228665,6.1852036
9.319713,8.319991
9.148449,3.549572
9.205457,8.157542
6.6791325,5.2906656
6.622781,9.509341
1.8113014,4.572899
6.541854,4.885809
2.5451968,5.455684
8.176043,7.2429223
6.0691695,5.2786098
7.218475,6.277438
6.390933,2.7404718
6.71069,2.8308573
3.1205916,5.684767
8.116898,5.3301454
2.5125997,6.3039627
9.556929,7.4523487
6.952924,8.901252
1.9899838,4.4356756
7.984412,3.4500844
6.410566,6.757744
5.009198,5.7744737
7.346085,3.722483
4.4527435,3.4467745
2.7351477,6.076239
8.91114,4.1088624
7.575451,5.9321756
2.9052057,4.1282787
6.645766,9.853189
4.9291368,2.6505997
2.6168923,4.870986
6.994702,3.3370132
7.616677,3.720211
6.35579,4.8269477
7.816231,8.745873
4.242834,2.9560134
9.37011,8.0278015
5.210601,8.501072
3.9629912,6.474607
8.921937,7.7742524
4.260225,3.3232384
7.1118326,5.5605707
4.8087373,6.8646746
2.7863934,6.7697725
4.717886,5.636507
2.9323812,6.602573
8.768896,7.4142623
9.270038,3.6623998
3.9423876,4.2701163
1.8475553,5.3647485
8.830116,3.6415887
4.076906,5.1961374
4.163135,5.836884
8.829534,6.7702966
4.125978,3.3440807
9.3989725,8.370493
4.838841,6.989095
2.701169,4.313036
4.0083795,4.6669507
5.898941,8.701966
3.539932,5.4661846
5.311564,8.667072
2.216727,4.195017
5.1827335,6.1060243
6.7038527,6.6264834
7.5699196,3.6747446
6.8463593,4.7233453
6.330545,5.142282
5.1573334,7.530345
4.7390866,8.284269
4.93771,7.2070236
2.6103833,5.375211
2.6379385,5.460704
5.5532637,8.215276
7.6058054,3.7581027
7.630203,5.1159573
7.0737557,7.7010756
3.6708343,4.5406966
7.8212466,7.252009
9.341665,7.244006
7.609001,7.660567
8.680822,7.30425
6.6684794,3.3456855
8.158652,4.65126
6.771785,3.3545723
5.763737,2.9384098
5.857497,2.9863527
5.9508295,9.274936
7.992454,5.051816
6.316715,8.128795
9.350233,8.092492
6.5677347,7.9709587
6.888601,3.1147854
7.243583,7.6493526
1.8810586,4.812791
1.8468003,5.3039565
9.445209,6.158853
5.866308,4.04576
4.4500203,6.419944
7.2392626,8.176111
7.193605,4.0926704
9.3092785,3.548011
6.10935,3.0917697
6.50256,5.227841
